Entity,Code,Year,Democracy
Afghanistan,AFG,1990,-8
Afghanistan,AFG,2000,-7
Afghanistan,AFG,2018,-1
Albania,ALB,1990,1
Albania,ALB,2000,5
Albania,ALB,2010,9
Albania,ALB,2018,9
Algeria,DZA,1990,-2
Algeria,DZA,2000,-3
Algeria,DZA,2010,2
Algeria,DZA,2018,2
Angola,AGO,1990,-7
Angola,AGO,2000,-6
Angola,AGO,2010,-2
Angola,AGO,2018,-2
Argentina,ARG,1990,7
Argentina,ARG,2000,8
Argentina,ARG,2010,8
Argentina,ARG,2018,9
Armenia,ARM,1990,0
Armenia,ARM,2000,5
Armenia,ARM,2010,5
Armenia,ARM,2018,7
Australia,AUS,1990,10
Australia,AUS,2000,10
Australia,AUS,2010,10
Australia,AUS,2018,10
Austria,AUT,1990,10
Austria,AUT,2000,10
Austria,AUT,2010,10
Austria,AUT,2018,10
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,2000,-7
Azerbaijan,AZE,2010,-7
Azerbaijan,AZE,2018,-7
Bahrain,BHR,1990,-10
Bahrain,BHR,2000,-9
Bahrain,BHR,2010,-5
Bahrain,BHR,2018,-10
Bangladesh,BGD,1990,-5
Bangladesh,BGD,2000,6
Bangladesh,BGD,2010,5
Bangladesh,BGD,2018,-6
Belarus,BLR,1990,0
Belarus,BLR,2000,-7
Belarus,BLR,2010,-7
Belarus,BLR,2018,-7
Belgium,BEL,1990,10
Belgium,BEL,2000,10
Belgium,BEL,2010,8
Belgium,BEL,2018,8
Benin,BEN,1990,-1
Benin,BEN,2000,6
Benin,BEN,2010,7
Benin,BEN,2018,7
Bhutan,BTN,1990,-10
Bhutan,BTN,2000,-10
Bhutan,BTN,2010,3
Bhutan,BTN,2018,7
Bolivia,BOL,1990,9
Bolivia,BOL,2000,9
Bolivia,BOL,2010,7
Bolivia,BOL,2018,7
Bosnia and Herzegovina,BIH,1990,-5
Botswana,BWA,1990,7
Botswana,BWA,2000,8
Botswana,BWA,2010,8
Botswana,BWA,2018,8
Brazil,BRA,1990,8
Brazil,BRA,2000,8
Brazil,BRA,2010,8
Brazil,BRA,2018,8
Bulgaria,BGR,1990,7
